Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
58	-414.68927	47.83049	-317.836	-486.3601	-369.01794	37.077354	-306.8165	-405.20627	100.0	100.0	86999	-85.1385	5.8248477	-71.76981	-108.78143	-85.13846	5.840608	-71.510155	-109.58404	84.916794	0.9290214	54461.27565407753
59	-409.91272	45.433136	-318.62982	-465.6674	-376.6772	42.76952	-309.21762	-470.06158	100.0	100.0	88499	-85.087715	5.8251934	-71.72178	-108.51089	-85.08752	5.8405857	-71.43176	-109.58497	84.83925	0.93693626	55255.84328484535
60	-420.13608	41.63435	-351.74277	-490.11255	-375.2453	44.77541	-315.56403	-447.4934	100.0	100.0	89999	-85.04639	5.8541355	-71.78778	-108.51957	-85.04626	5.8703265	-71.11419	-109.54519	84.84605	0.92954224	56359.8552570343
61	-399.8706	32.807842	-310.99728	-465.4562	-415.16153	40.273975	-347.6617	-475.73865	100.0	100.0	91499	-84.98089	5.8878584	-71.6685	-108.44416	-84.980774	5.9032035	-71.121635	-107.42279	84.77274	0.9463131	56975.72426009178
62	-421.27634	42.98886	-343.55887	-474.9585	-381.157	61.902313	-243.42946	-448.8829	100.0	100.0	92999	-84.9617	5.929632	-71.56012	-109.744255	-84.96149	5.9443574	-71.05366	-109.99209	84.75638	0.9579163	58224.85220813751
63	-411.9735	37.788143	-355.93918	-477.30475	-381.67148	46.269135	-296.0739	-441.7078	100.0	100.0	94499	-84.89386	5.944499	-71.38288	-109.03011	-84.89372	5.9608555	-70.971924	-109.03322	84.678345	0.95759	59425.40071797371
64	-415.07883	36.092705	-344.1712	-471.3004	-379.83942	70.30131	-265.07886	-484.42892	100.0	100.0	95999	-84.86476	5.9659534	-71.16064	-109.45003	-84.86478	5.9813657	-70.927704	-108.82496	84.64168	0.9633823	60318.32782292366
65	-406.1696	38.559654	-332.6334	-478.6931	-380.3704	57.244446	-303.6156	-466.91324	100.0	100.0	97499	-84.7739	5.9865084	-71.283226	-109.58785	-84.773575	6.003786	-70.85162	-109.655525	84.559715	0.9713014	61685.10592699051
66	-421.0899	33.388	-345.363	-463.39148	-367.1436	28.608524	-316.46082	-408.35654	100.0	100.0	98999	-84.770164	6.010176	-71.13278	-109.348	-84.77016	6.02754	-70.67247	-110.126785	84.56831	0.985383	62573.38994598389
67	-406.4047	32.246742	-358.13873	-465.27515	-365.6866	37.205788	-304.96066	-428.7286	100.0	100.0	100499	-84.722176	6.0356097	-71.18548	-108.510956	-84.721695	6.052893	-70.69494	-107.996605	84.514915	0.9890309	64178.89791512489
68	-414.713	35.29744	-361.83954	-480.28467	-373.82828	45.781506	-302.8222	-447.93872	100.0	100.0	101999	-84.7085	6.0554185	-71.08045	-108.57045	-84.70849	6.0719337	-70.840965	-108.77611	84.49499	0.99080515	65170.155172109604
69	-415.121	43.778114	-332.37836	-489.93713	-372.70972	46.28884	-291.62906	-462.68164	100.0	100.0	103499	-84.63753	6.065851	-70.867355	-109.90712	-84.63723	6.081632	-70.653114	-109.24661	84.428375	0.9841865	66065.5144071579
70	-420.62222	32.81906	-374.9427	-475.34378	-378.4131	43.353416	-307.67554	-438.4159	100.0	100.0	104999	-84.61467	6.084421	-70.837204	-108.710945	-84.614624	6.10024	-70.49937	-107.94324	84.36245	0.99387735	67415.91059303284
71	-399.458	38.79478	-320.6278	-472.22778	-387.7126	81.05864	-214.1816	-483.16977	100.0	100.0	106499	-84.55377	6.0963616	-70.617424	-108.80442	-84.553955	6.109877	-70.605545	-107.42777	84.33143	0.99844694	68388.68523907661
72	-400.6168	40.97016	-311.992	-451.7465	-354.64734	50.31393	-274.36093	-422.45837	100.0	100.0	107999	-84.52625	6.114294	-70.668175	-108.87953	-84.526054	6.1285152	-70.49161	-107.21026	84.288605	1.0120132	69837.04499697685
73	-408.5127	30.711222	-340.30972	-459.48782	-371.7825	40.3513	-311.34763	-421.5738	100.0	100.0	109499	-84.49111	6.1361575	-70.85478	-109.029396	-84.49117	6.149867	-70.61643	-108.6129	84.2676	1.0134588	71300.58827805519
74	-432.2423	17.903206	-395.33093	-458.04062	-394.39072	48.919823	-298.9439	-457.70288	100.0	100.0	110999	-84.46447	6.131751	-70.97	-109.34742	-84.46456	6.144423	-70.494316	-108.707085	84.26422	1.0113901	72317.84178614616
75	-404.95804	52.010414	-284.84302	-467.30557	-393.54282	47.882698	-335.95013	-481.04184	100.0	100.0	112499	-84.45373	6.1644506	-70.69965	-109.12792	-84.45347	6.1776	-70.30441	-108.53558	84.26614	1.0203754	72884.94445300102
76	-405.99255	54.641853	-264.30646	-459.4786	-376.8653	46.412056	-297.6328	-431.80228	100.0	100.0	113999	-84.40168	6.136313	-70.90081	-109.35775	-84.40158	6.1512866	-70.76651	-108.568405	84.174904	1.032619	73863.51243376732
77	-402.9385	38.736412	-325.4325	-485.20062	-399.78427	34.50454	-342.04965	-452.04865	100.0	100.0	115499	-84.37379	6.1347256	-70.77385	-110.2198	-84.3737	6.1484814	-70.562584	-107.163345	84.15363	1.0253955	74965.48296284676
78	-409.3167	32.816437	-359.0706	-473.20938	-397.10245	52.497837	-299.4626	-481.4742	100.0	100.0	116999	-84.31509	6.156199	-70.778244	-109.80907	-84.314995	6.1705084	-70.39351	-107.75514	84.08355	1.0216693	76153.59206295013
