Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
79	-401.26657	40.508125	-304.44415	-455.54547	-388.4259	60.045544	-276.1287	-473.71518	100.0	100.0	118499	-88.555016	5.4500837	-75.42452	-111.86217	-88.55475	5.4630203	-75.42069	-110.37552	88.31664	1.0527673	1107.735713005066
80	-431.51483	26.821589	-393.13806	-474.1056	-393.43292	36.545116	-348.3536	-454.40332	100.0	100.0	119999	-88.47622	5.4691644	-75.33333	-111.042755	-88.47636	5.484615	-75.5006	-110.55415	88.23181	1.046053	1123.1242280006409
81	-414.54315	33.58557	-352.6094	-474.64618	-392.19305	46.824207	-291.0956	-461.99283	100.0	100.0	121499	-88.42144	5.4671817	-75.38663	-110.96695	-88.42163	5.4822335	-75.657	-110.83396	88.15981	1.0635695	1138.5549612045288
82	-419.71405	29.331816	-371.08237	-481.74384	-334.84637	53.61758	-270.9685	-459.72208	100.0	100.0	122999	-88.34921	5.471675	-75.293564	-111.437935	-88.34919	5.4850554	-75.507866	-110.28455	88.086395	1.0580195	1154.518208026886
83	-413.86047	29.776571	-369.3149	-474.61856	-413.1312	58.57382	-283.88394	-479.3563	100.0	100.0	124499	-88.27325	5.461905	-75.252815	-111.91089	-88.27314	5.4756856	-75.35829	-111.144646	88.02706	1.0652195	1169.8422911167145
84	-421.88156	40.982105	-321.5601	-469.81924	-404.63806	46.38435	-339.63007	-478.29172	100.0	100.0	125999	-88.19556	5.513632	-75.07248	-110.67295	-88.19582	5.5254765	-75.20118	-110.07509	87.96042	1.0693473	1185.3201451301575
85	-406.159	40.99211	-328.63107	-471.5302	-414.6059	26.77251	-359.1442	-455.32086	100.0	100.0	127499	-88.15723	5.5519724	-74.87264	-112.41625	-88.15731	5.5622597	-74.92089	-110.27469	87.93488	1.0624136	1200.7066600322723
86	-409.69006	38.72743	-311.71362	-445.89713	-403.79388	31.052395	-340.5252	-445.7962	100.0	100.0	128999	-88.038216	5.5617967	-74.577675	-112.06119	-88.03812	5.573659	-74.66534	-110.512695	87.78992	1.066607	1216.185595035553
87	-411.00992	35.267056	-343.8914	-463.30112	-384.11465	52.95262	-318.54065	-471.74515	100.0	100.0	130499	-87.989	5.589713	-74.316086	-111.09336	-87.9893	5.6005144	-74.53009	-109.1904	87.75308	1.0720916	1231.5068409442902
88	-410.7602	40.74909	-335.13837	-460.768	-390.75748	44.70957	-292.29382	-452.576	100.0	100.0	131999	-87.92863	5.6162167	-74.32629	-112.7217	-87.92881	5.62575	-74.41827	-110.552505	87.65828	1.0840088	1246.3504521846771
89	-416.6769	38.09412	-325.24683	-464.02524	-354.4173	68.900734	-231.54591	-479.3363	100.0	100.0	133499	-87.88181	5.6506944	-74.01138	-112.093185	-87.88191	5.6615634	-74.19891	-110.42781	87.64148	1.0914515	1261.321930885315
90	-404.40842	47.77385	-318.9805	-470.29684	-365.79462	58.198833	-265.46945	-453.34335	100.0	100.0	134999	-87.82816	5.6824	-73.80508	-113.59591	-87.82824	5.69096	-74.17749	-112.24178	87.57082	1.0926858	1276.4349701404572
91	-413.83896	31.442173	-372.4856	-467.00214	-388.2193	58.86794	-284.35107	-494.34378	100.0	100.0	136499	-87.76956	5.7266035	-73.5374	-113.076065	-87.76949	5.7363424	-73.2981	-112.38605	87.53723	1.1123043	1291.4893720149994
92	-422.89304	35.444427	-348.9253	-455.86508	-402.6403	58.2906	-302.08688	-489.22794	100.0	100.0	137999	-87.728294	5.759572	-73.47952	-112.11501	-87.72834	5.770538	-73.85022	-111.78805	87.46117	1.1147441	1306.5222420692444
93	-402.2509	39.04115	-334.97238	-467.85898	-401.7948	41.325336	-338.58466	-466.56885	100.0	100.0	139499	-87.7104	5.808073	-73.396095	-113.28904	-87.71041	5.817283	-73.668724	-111.5161	87.42857	1.126493	1321.5066239833832
94	-392.21204	34.17611	-310.23495	-452.90964	-379.64752	59.011055	-285.033	-455.39664	100.0	100.0	140999	-87.62043	5.8475156	-73.37887	-113.07591	-87.62064	5.8551593	-73.526794	-111.576775	87.33689	1.1301266	1336.993870973587
95	-409.94113	47.297806	-305.78146	-485.92944	-383.26593	40.666115	-333.91162	-474.55334	100.0	100.0	142499	-87.55307	5.9250517	-73.21627	-114.53151	-87.55333	5.9345174	-73.33222	-112.144005	87.28531	1.1346422	1352.3709290027618
96	-399.7357	46.53633	-315.51556	-463.76196	-384.5226	52.76637	-316.03577	-467.45053	100.0	100.0	143999	-87.53332	5.964284	-73.04349	-112.53827	-87.53342	5.9745016	-73.12848	-111.22064	87.255684	1.1287233	1367.9639980793
97	-398.46945	44.12661	-325.10287	-461.3731	-345.18466	44.886806	-287.1509	-456.2959	100.0	100.0	145499	-87.47476	5.9865584	-72.94732	-113.87469	-87.47476	5.996549	-72.864296	-111.93219	87.18665	1.1452794	1382.9693422317505
98	-400.19412	41.33759	-306.94098	-446.38425	-378.7048	52.045143	-314.0483	-462.28854	100.0	100.0	146999	-87.3699	6.031495	-72.70248	-113.58805	-87.36986	6.0410542	-72.45177	-112.24101	87.082436	1.1364126	1398.1119990348816
99	-396.84598	33.476578	-315.89578	-434.2782	-384.19888	41.155	-339.42557	-470.14633	100.0	100.0	148499	-87.29226	6.061572	-72.61372	-114.45825	-87.29247	6.069342	-72.6843	-113.38117	87.00487	1.1633645	1413.3406460285187
